Row30|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/e3c9227a-35df-4f8f-90fe-c22f715173cb.jpg?width=500&amp;sharp=1|Meierei im Waldknechtshof|https://guide.michelin.com//de/de/baden-wurttemberg/baiersbronn/restaurant/meierei-im-waldknechtshof|Baiersbronn|Regional, Regional|48.5242801|8.3990712
Row31|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/297aa454-724a-4480-ba45-d1d700f62303.jpg?width=500&amp;sharp=1|La Villa|https://guide.michelin.com//de/de/bayern/bamberg/restaurant/la-villa79489|Bamberg|International|49.8896486|10.8891176
Row32|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/713383c8-43af-49be-9c3c-864bdcd84c80.jpg?width=500&amp;sharp=1|Wettsteins Restaurant|https://guide.michelin.com//de/de/nordrhein-westfalen/langerwehe/restaurant/wettsteins-restaurant|Langerwehe|Regional, Regional|50.7951272|6.3885755
Row33|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/93c8c720-80b7-4105-8cc0-05ac8c335952.jpg?width=500&amp;sharp=1|Landgasthof zum Ochsen|https://guide.michelin.com//de/de/baden-wurttemberg/mosbach/restaurant/landgasthof-zum-ochsen|Mosbach|Marktküche, Marktküche|49.3733829|9.1270404
Row34|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/13928b3e-c8c3-476e-b83b-d73e2dcea43d.jpg?width=500&amp;sharp=1|Awilon|https://guide.michelin.com//de/de/niedersachsen/wolfsburg/restaurant/awilon|Wolfsburg|Marktküche|52.4191431|10.7850078
Row35|0|https://d3h1lg3ksw6i6b.cloudfront.net/guide/placeholder/default2.jpg|Kurlbaum|https://guide.michelin.com//de/de/nordrhein-westfalen/moers/restaurant/kurlbaum|Moers|Klassische Küche, Klassische Küche|51.4505954|6.6269259
Row36|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/37c7066e-7067-4e38-ad52-47ce683226ed.png?width=500&amp;sharp=1|Lindenhof-Kasteel|https://guide.michelin.com//de/de/nordrhein-westfalen/monchengladbach/restaurant/lindenhof-kasteel|Mönchengladbach|Moderne Küche, Moderne Küche|51.2057238|6.3417062
Row37|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/8aeacec1-caaf-44fe-9fea-9544fab50efc.jpg?width=500&amp;sharp=1|Überland|https://guide.michelin.com//de/de/niedersachsen/braunschweig/restaurant/uberland|Braunschweig|Modern, Modern|52.2557998|10.5405743
Row38|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/3db771b9-f4bc-45fa-8011-7044de95c2ea.jpg?width=500&amp;sharp=1|ZEN Japanese Restaurant|https://guide.michelin.com//de/de/nordrhein-westfalen/koln/restaurant/zen-japanese-restaurant|Köln|Japanisch|50.924899|6.907116
Row39|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/891db673-5632-485a-bd24-173f032ac81e.jpg?width=500&amp;sharp=1|Brasserie Colette Tim Raue|https://guide.michelin.com//de/de/bayern/mnchen/restaurant/colette-tim-raue488960|München|Französisch|48.126953|11.5699476
Row40|0|https://static.pxlecdn.com/photos/344571063/original/790241bf0403f33b1d23.jpg|Genießer Wirtshaus|https://guide.michelin.com//de/de/nordrhein-westfalen/simmerath/restaurant/geniesser-wirtshaus|Simmerath|Regional|50.6157353|6.3803964
Row41|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/27808023-2ea3-44e4-947c-068ca960a521.jpg?width=500&amp;sharp=1|Zur Schwane|https://guide.michelin.com//de/de/baden-wurttemberg/metzingen/restaurant/zur-schwane|Metzingen|Marktküche, Marktküche|48.5363292|9.2857482
Row42|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/8042ec6d-d9cc-42e1-9e0c-a806a69e13b3.jpg?width=500&amp;sharp=1|Tafelhaus|https://guide.michelin.com//de/de/baden-wurttemberg/kngen/restaurant/tafelhaus|Köngen|Regional, Regional|48.6781336|9.3668629
Row43|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/683ad160-6c2a-4707-9d30-c3580ab2b7e2.jpg?width=500&amp;sharp=1|Weinhaus Anker|https://guide.michelin.com//de/de/bayern/marktheidenfeld/restaurant/weinhaus-anker|Marktheidenfeld|Französisch, Französisch|49.8456206|9.6003008
Row44|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/c1383383-6c87-4e07-bf95-4d002867ddac.JPG?width=500&amp;sharp=1|Fässle le Restaurant|https://guide.michelin.com//de/de/baden-wurttemberg/stuttgart/restaurant/fassle-le-restaurant|Stuttgart|Französisch-klassisch, Französisch-klassisch|48.7476434|9.1706567
Row45|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/6e802fc2-023c-4e04-bacc-64f1412db63d.jpg?width=500&amp;sharp=1|Schloss-Schänke|https://guide.michelin.com//de/de/baden-wurttemberg/gernsbach/restaurant/schloss-schanke|Gernsbach|Regional, Regional|48.7495875|8.3426259
